FundType,PooledFundId,AllocationtypeId,ChfId,ChfProjectCode,OrgId,PrjDuration,EndDate,Budget,BenM,BenW,BenB,BenG,GMId,GAMId,GlbPrjStatusId,GlobalUniqueOrgId,DisabilityMarkerId,GenderEqualityMarkerId,GBVMarkerId,GAMRefNumber,PartnerProjectRisk,PartnerRisk,DisabledM,DisabledW,DisabledB,DisabledG,AchM,AchW,AchB,AchG,BenMSplit,BenWSplit,BenBSplit,BenGSplit,BenTotSplit,AchMSplit,AchWSplit,AchBSplit,AchGSplit,AchTotSplit,DisabledAchM,DisabledAchW,DisabledAchB,DisabledAchG,GBVBudgetPlanned,GBVBudgetReached,GBVBen,GBVAch
1,23,48,20049,AFG-21/3481/RA3/ESNFI/UN/20049,66,8 Months,7/4/2022 0:00,1310189.04,3220,3220,4830,4830,,2,115,3142,,,,G134708423,Low,High,90,90,60,60,2517,2898,5063,5168,3220||||,3220||||,4830||||,4830||||,16100||||,2517||||,2898||||,5063||||,5168||||,15646||||,37,78,24,29,91713,10088,1288,1049
1,23,48,20095,AFG-21/3481/RA3/N/UN/20095,143,6 Months,3/31/2022 12:00:00 AM,400076.58,0,0,2936,3588,,3,115,3151,,,,G172722595,Low,Medium,0,0,0,0,0,0,3243,3964,0|||0|,0|||0|,147|||2789|,179|||3409|,326|||6198|,0|||0|,0|||0|,162|||3081|,198|||3766|,360|||6847|,0,0,0,0,12002,3480,913,636
1,23,48,20114,AFG-21/3481/RA3/FSAC/UN/20114,42,12 Months,9/15/2022 12:00:00 AM,886138.01,12362,12424,18434,18744,,0,115,3140,,,,G641805330,Low,Medium,331,339,498,506,16487,16154,22115,20796,||||12362,||||12424,||||18434,||||18744,||||61964,||||16487,||||16154,||||22115,||||20796,||||75552,248,84,459,165,0,0,0,0
1,23,48,20116,AFG-21/3481/RA3/APC/UN/20116,147,12 Months,1/9/2023 0:00,300000.48,80,20,0,0,,3,115,3152,,,,H7949-0226-6663,Low,Medium,0,0,0,0,59,10,0,0,||||80,||||20,||||0,||||0,||||100,||||59,||||10,||||0,||||0,||||69,0,0,0,0,0,0,0,0
1,23,48,20166,AFG-21/3481/RA3/APC/UN/20166,142,12 Months,12/30/2022 12:00:00 AM,500000.46,29000,27000,23000,21000,,4,115,3150,,,,H7866-3140-8988,Low,High,2900,2700,2300,2100,68001,73876,83834,93134,11600||11600|5800|,10800||10800|5400|,9200||9200|4600|,8400||8400|4200|,40000||40000|20000|,45675||5767|16559|,48033||6852|18991|,55595||9126|19113|,62352||9698|21084|,211655||31443|75747|,187,1569,1276,1420,0,0,0,0
1,23,48,20490,AFG-21/3481/RA3/APC/UN/20490,143,6 Months,7/15/2022 12:00:00 AM,700000,5454,5034,16360,15102,,3,115,3151,,,,H2884-8239-0295,Low,Medium,0,0,2555,2359,17659,15699,27366,20568,1091|||4363|,1007|||4027|,3272|||13088|,3020|||12082|,8390|||33560|,291|||17368|,259|||15440|,2210|||25156|,2167|||18401|,4927|||76365|,0,0,1560,1279,133000,15960,6292,5090
1,23,50,21598,AFG-22/3481/RA1/H-N/UN/21598,151,15 Months,8/31/2023 12:00:00 AM,6402370.35,129809,181733,103847,103847,,3,115,3155,,,,H4259-1571-2761,Low,Medium,37385,28039,14019,14019,169056,180234,101722,87704,2596|||127213|,3635|||178098|,2077|||101770|,2077|||101770|,10385|||508851|,2485|||166571|,3295|||176939|,1915|||99807|,1916|||85788|,9611|||529105|,34251,10098,8900,8829,192071,30731,36346,29427
1,23,50,21609,AFG-22/3481/RA1/ESNFI/UN/21609,66,18 Months,11/14/2023 12:00:00 AM,4200734.57,6198,6199,8831,8844,,3,115,3142,,,,H6911-6895-5815,Low,High,120,120,90,90,5568,6049,10873,11230,4698|||1500|,4699|||1500|,6572|||2259|,6585|||2259|,22554|||7518|,385|||5183|,407|||5642|,581|||10292|,658|||10572|,2031|||31689|,13,90,81,44,0,0,0,0
1,23,50,21678,AFG-22/3481/RA1/APC/UN/21678,143,6 Months,12/14/2022 12:00:00 AM,249995.12,31970,28780,20900,18800,,4,115,3151,,,,H1985-3718-2587,Low,Medium,883,770,580,537,37809,35139,28301,26291,6970|||25000|,5780|||23000|,4200|||16700|,3800|||15000|,20750|||79700|,4647|||33162|,4221|||30918|,4180|||24121|,3312|||22979|,16360|||111180|,58,702,189,438,0,0,0,0
1,23,50,21691,AFG-22/3481/RA1/ESNFI/UN/21691,142,8 Months,2/14/2023 12:00:00 AM,549174.6,623,623,623,623,,3,115,3150,,,,H6558-4711-6010,Low,High,63,62,62,62,623,623,623,623,623||||,623||||,623||||,623||||,2492||||,623||||,623||||,623||||,623||||,2492||||,61,9,46,15,10983,2306,99,2
1,23,50,21696,AFG-22/3481/RA1/APC/UN/21696,142,9 Months,3/14/2023 12:00:00 AM,996768.09,935,800,925,940,,4,115,3150,,,,H4694-9141-7917,Low,High,50,50,50,50,935,800,925,940,425|60|375|75|,475|75|175|75|,675|105|70|75|,675|115|75|75|,2250|355|695|300|,425|60|375|75|,475|75|175|75|,675|105|70|75|,675|115|75|75|,2250|355|695|300|,44,40,45,18,0,0,0,0
1,23,50,21697,AFG-22/3481/RA1/ESNFI/UN/21697,142,14 Months,8/14/2023 12:00:00 AM,1219167.27,79017,74044,64098,59124,,4,115,3150,,,,H4694-9141-7917,Low,High,6907,6907,6907,6907,1792,1720,1720,1936,72110|||6907|,67137|||6907|,57191|||6907|,52217|||6907|,248655|||27628|,896|||896|,860|||860|,860|||860|,968|||968|,3584|||3584|,471,4992,628,2422,0,0,0,0
1,23,50,21715,AFG-22/3481/RA1/FSAC/UN/21715,42,15 Months,10/31/2023 12:00:00 AM,4413517.5,170937,161933,119653,117277,,3,115,3140,,,,H6206-9854-3254,Low,Medium,1901,1800,1330,1304,0,0,0,0,||||170937,||||161933,||||119653,||||117277,||||569800,||||0,||||0,||||0,||||0,||||0,176,1182,667,284,0,0,0,0
1,23,50,21759,AFG-22/3481/RA1/N/UN/21759,150,12 Months,5/14/2023 12:00:00 AM,1629999.84,0,9466,15567,14956,,4,115,3154,,,,H9410-7004-2210,Low,Medium,0,916,467,449,0,20949,19031,18284,|||0|,|||9466|,|||15567|,|||14956|,|||39989|,|||0|,|||20949|,|||19031|,|||18284|,|||58264|,0,895,315,219,195599,54767,4798,2636
1,23,50,21761,AFG-22/3481/RA1/FSAC/UN/21761,150,8 Months,2/27/2023 12:00:00 AM,14957502.18,50195,51287,61107,55650,,4,115,3154,,,,H5615-7714-4950,Low,Medium,9903,10119,12056,10980,105921,108224,128948,117434,|||50195|,|||51287|,|||61107|,|||55650|,|||218239|,|||105921|,|||108224|,|||128948|,|||117434|,|||460527|,8995,7295,12047,195,0,0,0,0
1,23,52,23031,AFG-22/3481/RA2/CCS/UN/23031,66,"4 Months, 17 Days",12/31/2022 12:00:00 AM,1379491.54,210,90,0,0,,0,115,3142,,,,H8959-7031-0750,Low,High,6,2,0,0,374,80,0,0,||||210,||||90,||||0,||||0,||||300,||||374,||||80,||||0,||||0,||||454,0,1,0,0,0,0,0,0
1,23,52,23109,AFG-22/3481/RA2/H/UN/23109,66,5 Months 10 Days,3/7/2023 0:00,885391.31,59631,48789,32109,26271,,4,115,3142,,,,H4769-6526-6254,Low,High,5009,4098,2697,2207,76378,47065,35613,29566,18704|||40927|,15304|||33485|,10072|||22037|,8240|||18031|,52320|||114480|,23960|||52418|,14764|||32301|,11172|||24441|,9275|||20291|,59171|||129451|,1788,3476,2410,530,53123,43029,23352,5547
1,23,52,23234,AFG-22/3481/RA2/ESNFI/UN/23234,66,4 Months 2 Days,1/2/2023 0:00,937905.38,135,0,0,0,,3,115,3142,,,,H4541-8536-4806,Low,High,2,0,0,0,570,0,0,0,||||135,||||0,||||0,||||0,||||135,||||570,||||0,||||0,||||0,||||570,1,0,0,0,93790,42205,16,9
1,23,53,23599,AFG-22/3481/RA3/H-N/UN/23599,151,6 Months,6/7/2023 0:00,3096913.41,51378,97976,89811,89836,,4,115,3155,,,,H3175-3441-9773,Low,Medium,10652,7989,3995,3995,47757,53124,114678,114532,1890|||49488|,2081|||95895|,1260|||88551|,1320|||88516|,6551|||322450|,1025|||46732|,1126|||51998|,2027|||112651|,2029|||112503|,6207|||323884|,2370,2792,3149,2628,0,0,0,0
1,23,53,23605,AFG-22/3481/RA3/FSAC/UN/23605,150,8 Months,8/14/2023 12:00:00 AM,10444354.05,51843,52970,63113,57479,,4,115,3154,,,,H6935-6342-8659,Low,Medium,10229,10451,12452,11340,242609,247883,295349,268983,|||51843|,|||52970|,|||63113|,|||57479|,|||225405|,|||242609|,|||247883|,|||295349|,|||268983|,|||1054824|,5366,8741,4983,8774,0,0,0,0
1,23,53,23630,AFG-22/3481/RA3/N/UN/23630,143,6 Months,5/31/2023 12:00:00 AM,1500000.01,0,0,9592,10206,,3,115,3151,,,,H2032-7098-8362,Low,Medium,0,0,1439,1531,0,0,8700,10640,|||0|,|||0|,|||9592|,|||10206|,|||19798|,|||0|,|||0|,|||8700|,|||10640|,|||19340|,0,0,734,685,0,0,0,0
1,23,53,23663,AFG-22/3481/RA3/FSAC/UN/23663,42,10 Months,10/19/2023 12:00:00 AM,3000001.23,3180513,2605743,2210187,2503557,,2,115,3140,,,,H5365-6753-5414,Low,Medium,159026,130287,110509,125178,3441816,2820266,2391886,2708910,||||3180513,||||2605743,||||2210187,||||2503557,||||10500000,||||3441816,||||2820266,||||2391886,||||2708910,||||11362878,158446,59009,32392,14206,510000,260100,1050000,784197
1,23,53,23667,AFG-22/3481/RA3/FSAC/UN/23667,42,9 Months,9/19/2023 12:00:00 AM,10000000.17,172433,163811,120703,117829,,3,115,3140,,,,H7125-8765-6937,Low,Medium,8622,8190,6035,5891,150307,157058,210647,211717,||||172433,||||163811,||||120703,||||117829,||||574776,||||150307,||||157058,||||210647,||||211717,||||729729,7648,964,1381,2764,0,0,0,0
1,23,53,23676,AFG-22/3481/RA3/N/UN/23676,150,6 Months,5/31/2023 12:00:00 AM,1500000.01,0,14100,19381,17891,,4,115,3154,,,,H8028-3470-4075,Low,Medium,0,0,0,0,0,0,4978,4782,|||0|,|||14100|,|||19381|,|||17891|,|||51372|,|||0|,|||0|,|||4978|,|||4782|,|||9760|,0,0,0,0,45000,31500,513,241
1,23,53,23730,AFG-22/3481/RA3/APC/UN/23730,147,8 Months,8/14/2023 12:00:00 AM,708435.11,24938,8313,1312,437,,3,115,3152,,,,H1167-2361-1703,Low,Medium,1248,415,65,22,6910,2652,394,199,4988|25|3491|15960|474,1663|8|1164|5320|158,262|1|184|840|25,87|1|61|280|8,7000|35|4900|22400|665,528|61|1268|4972|81,295|0|324|1997|36,20|4|67|284|19,18|0|13|156|12,861|65|1672|7409|148,273,85,12,18,0,0,0,0
1,23,54,25999,CBPF-AFG-23-R-NGO-25999,421,12 Months,8/31/2024 12:00:00 AM,648518.44,270,270,810,810,,3,77,3248,9,25,3,H8593-0986-0651,Medium,Medium,110,160,30,36,280,280,840,840,135|0|0|135|0,135|0|0|135|0,405|0|0|405|0,405|0|0|405|0,1080|0|0|1080|0,140|||140|,140|||140|,420|||420|,420|||420|,1120|||1120|,20,149,6,33,0,0,0,0
1,23,54,26012,CBPF-AFG-23-R-NGO-26012,395,6 Months,2/29/2024 12:00:00 AM,499477.67,52250,49500,88000,85250,,4,115,3222,9,6,3,H5496-4165-1924,High,High,8250,2062,18563,12375,345027,155005,200998,181212,0|0|38000|14250|0,0|0|36000|13500|0,0|0|64000|24000|0,0|0|62000|23250|0,0|0|200000|75000|0,0|0|248901|96126|0,0|0|49112|105893|0,0|0|34829|166169|0,0|0|17144|164068|0,0|0|349986|532256|0,5710,1548,730,5954,49947,27470,33000,23746
1,23,54,26014,CBPF-AFG-23-R-NGO-26014,412,6 Months,3/13/2024 12:00:00 AM,367082.48,16161,15527,7261,6976,,2,115,3239,8,25,2,H7460-0869-8718,High,High,1358,1304,610,586,15025,28248,11036,10602,0|0|0|16161|0,0|0|0|15527|0,0|0|0|7261|0,0|0|0|6976|0,0|0|0|45925|0,0|0|0|15025|0,0|0|0|28248|0,0|0|0|11036|0,0|0|0|10602|0,0|0|0|64911|0,873,217,25,529,11012,11012,2755,1030
1,23,54,26030,CBPF-AFG-23-R-NGO-26030,475,9 Months,5/24/2024 12:00:00 AM,499972.31,113,119,3920,4180,,3,115,7399,9,26,3,H8047-5141-8349,High,High,0,0,3,3,155,77,2200,5629,0|0|0|0|113,0|0|0|0|119,0|0|0|0|3920,0|0|0|0|4180,0|0|0|0|8332,0|0|0|0|155,0|0|0|0|77,0|0|0|0|2200,0|0|0|0|5629,0|0|0|0|8061,0,0,1,1,59996,60595,1249,512
1,23,56,26298,CBPF-AFG-23-R-UN-26298,151,"4 Months, 15 Days",1/17/2024 12:00:00 AM,3959000,530319,857598,234847,234845,,0,115,3155,9,25,3,H6131-6368-9755,Low,Medium,79547,128639,35227,35226,969836,1627939,450281,415644,0|0|0|530319|0,0|0|0|857598|0,0|0|0|234847|0,0|0|0|234845|0,0|0|0|1857609|0,0|0|0|969836|0,0|0|0|1627939|0,0|0|0|450281|0,0|0|0|415644|0,0|0|0|3463700|0,19533,114825,29970,4684,633440,576430,55728,8805
1,23,57,26740,CBPF-AFG-23-R-UN-26740,150,6 Months,4/9/2024 0:00,1000005.77,8468,8652,10309,9388,,3,115,3154,9,25,3,H7710-5732-7753,Low,Medium,2286,2336,2783,2535,8043,7528,10792,10534,0|0|0|8468|0,0|0|0|8652|0,0|0|0|10309|0,0|0|0|9388|0,0|0|0|36817|0,0|0|0|8043|0,0|0|0|7528|0,0|0|0|10792|0,0|0|0|10534|0,0|0|0|36897|0,1330,1575,1269,1859,0,0,0,0
1,23,58,26938,CBPF-AFG-23-R-NGO-26938,420,7 Months,7/19/2024 12:00:00 AM,259403.01,82,55,6012,4008,,4,77,3247,9,5,3,H2030-2022-1329,High,High,0,0,762,761,0,0,0,0,0|0|0|0|82,0|0|0|0|55,0|0|0|0|6012,0|0|0|0|4008,0|0|0|0|10157,||||0,||||0,||||0,||||0,||||0,0,0,9,398,0,0,0,0
1,23,58,26956,CBPF-AFG-23-R-INGO-26956,371,6 Months,6/19/2024 12:00:00 AM,628235.81,3241,3240,2160,2159,,4,115,3198,10,26,4,H7367-0511-8695,Medium,Medium,1510,1509,653,640,1603,1360,525,360,260|0|65|2916|0,260|0|64|2916|0,172|0|44|1944|0,172|0|43|1944|0,864|0|216|9720|0,51||0|1552|,0||0|1360|,2||0|523|,0||0|360|,53||0|3795|,1142,752,471,553,94235,93292,648,186
1,23,43,16532,AFG-20/3481/RA4/CCS/UN/16532,147,17 Months,2/28/2022 12:00:00 AM,4995976.23,30000,10000,0,0,,4,115,3152,,,,G783968715,Low,Medium,100,100,0,0,25500,8500,0,0,||||30000,||||10000,||||0,||||0,||||40000,||||25500,||||8500,||||0,||||0,||||34000,43,52,0,0,0,0,0,0
1,23,52,23055,AFG-22/3481/RA2/H/UN/23055,151,12 Months,9/25/2023 12:00:00 AM,1685010.38,50750,36250,29000,29000,,4,115,3155,,,,H4913-3877-4235,Low,Medium,4872,3654,1872,1872,77951,76381,68623,49309,1015|||49735|,725|||35525|,580|||28420|,580|||28420|,2900|||142100|,778|||77173|,585|||75796|,594|||68029|,587|||48722|,2544|||269720|,3853,3536,563,28,269601,288473,15950,9242
1,23,53,23600,AFG-22/3481/RA3/ESNFI/UN/23600,66,12 Months,11/24/2023 12:00:00 AM,3211092.99,8119,8124,12319,12318,,4,115,3142,,,,H8165-5786-0017,Low,High,50,60,70,70,4638,4882,9618,9845,3247|||2116|2756,3247|||2117|2760,5008|||3174|4137,5007|||3174|4137,16509|||10581|13790,62|||2157|2419,71|||2364|2447,135|||5228|4255,142|||5458|4245,410|||15207|13366,36,23,4,22,0,0,0,0
1,23,54,25996,CBPF-AFG-23-R-NGO-25996,389,6 Months,3/1/2024 0:00,492352.03,2468,3209,9379,9626,,3,115,3216,9,25,3,H7785-9575-4355,High,High,148,192,563,578,9828,10315,11620,11864,0|0|0|2468|0,0|0|0|3209|0,0|0|0|9379|0,0|0|0|9626|0,0|0|0|24682|0,0|0|0|9828|0,0|0|0|10315|0,0|0|0|11620|0,0|0|0|11864|0,0|0|0|43627|0,25,69,507,544,24617,2461,4936,2857
1,23,54,26016,CBPF-AFG-23-R-NGO-26016,438,6 Months,3/13/2024 12:00:00 AM,250844.98,6099,5860,7161,6880,,4,115,3265,9,25,3,H5776-9728-3660,High,High,915,879,1074,1032,4506,11312,5939,6505,0|0|0|6099|0,0|0|0|5860|0,0|0|0|7161|0,0|0|0|6880|0,0|0|0|26000|0,0|0|0|4506|0,0|0|0|11312|0,0|0|0|5939|0,0|0|0|6505|0,0|0|0|28262|0,273,189,678,77,0,0,0,0
1,23,58,26942,CBPF-AFG-23-R-UN-26942,66,3 Months,2/15/2024 12:00:00 AM,750000,2205,2205,3307,3308,,4,115,3142,9,25,3,H7339-4182-3758,Low,High,330,330,503,504,4174,4315,5160,5277,0|0|0|0|2205,0|0|0|0|2205,0|0|0|0|3307,0|0|0|0|3308,0|0|0|0|11025,0|0|0|4174|0,0|0|0|4315|0,0|0|0|5160|0,0|0|0|5277|0,0|0|0|18926|0,255,290,152,312,90000,29700,1874,1657
1,23,39,15062,AFG-20/3481/RA1/H/UN/15062,151,9 Months,12/14/2020 12:00:00 AM,1498155.15,200000,160000,45000,45000,,4,87,3155,,,,G763628332,Low,Medium,8000,4000,1000,1000,134500,106500,33000,24600,||70000|130000|,||50000|110000|,||15000|30000|,||15000|30000|,||150000|300000|,||45500|89000|,||35500|71000|,||12600|20400|,||9700|14900|,||103300|195300|,136,1513,957,607,0,0,0,0
1,23,41,15739,AFG-20/3481/RA2/H/INGO/15739,354,5 Months,9/30/2020 12:00:00 AM,299999.99,14532,14532,21798,21798,,3,87,3182,,,,G867468470,Low,Medium,20,15,25,18,11236,19242,22157,24274,13805|||727|,13805|||727|,20708|||1090|,20708|||1090|,69026|||3634|,10940|||296|,17917|||1325|,21038|||1119|,22549|||1725|,72444|||4465|,7,10,7,14,35999,16919,8719,7686
1,23,41,15743,AFG-20/3481/RA2/WASH/INGO/15743,354,6 Months,10/31/2020 12:00:00 AM,1000000,15682,16322,23522,24484,,3,87,3182,,,,G416256200,Low,Medium,424,148,0,0,21409,23899,32211,32863,1832|||13850|,1906|||14416|,2747|||20775|,2860|||21624|,9345|||70665|,4123|||17286|,4418|||19481|,4558|||27653|,4454|||28409|,17553|||92829|,41,79,0,0,0,0,0,0
1,23,41,15744,AFG-20/3481/RA2/WASH/INGO/15744,369,8 Months,12/31/2020 12:00:00 AM,1499999.98,45560,45560,60056,55912,,3,87,3196,,,,G642505297,Low,Medium,5012,5012,6606,6150,32430,36792,53742,56627,6834||4556|34170|,6834||4556|34170|,9008||6006|45042|,8387||5591|41934|,31063||20709|155316|,7881||1590|22959|,9337||1868|25587|,14145||3184|36413|,14305||3244|39078|,45668||9886|124037|,2573,275,5606,641,0,0,0,0
1,23,41,15748,AFG-20/3481/RA2/CCS/UN/15748,150,3 Months 1 Days,8/1/2020 0:00,3699123.71,1810,490,0,0,,1,87,3154,,,,G344071793,Low,Medium,0,0,0,0,2096,538,0,0,||||1810,||||490,||||0,||||0,||||2300,||||2096,||||538,||||0,||||0,||||2634,0,0,0,0,0,0,0,0
1,23,41,15750,AFG-20/3481/RA2/WASH/INGO/15750,339,8 Months,12/31/2020 12:00:00 AM,700000,13380,13889,11364,11867,,3,87,3168,,,,G161540889,Medium,High,1691,1760,1440,1499,23024,25230,7772,7483,1116|||12264|,1162|||12727|,951|||10413|,991|||10876|,4220|||46280|,977|||22047|,1076|||24154|,733|||7039|,705|||6778|,3491|||60018|,1346,302,692,724,0,0,0,0
1,23,42,16056,AFG-20/3481/RA3/H/INGO/16056,356,6 Months,11/30/2020 12:00:00 AM,529951.31,42820,40158,54902,53009,,3,87,3184,,,,G443377800,Medium,Medium,2997,2881,3843,3711,205490,82521,36186,32359,13640|4400||23603|1177,13020|4200||22530|408,17980|5800||31113|9,17360|5600||30040|9,62000|20000||107286|1603,69842|37019||97579|1050,28083|15829||38328|281,12303|5398||18484|1,11003|5338||16017|1,121231|63584||170408|1333,1118,2880,2192,904,0,0,0,0
1,23,42,16057,AFG-20/3481/RA3/H-N/NGO/16057,341,6 Months,11/30/2020 12:00:00 AM,671618.49,79886,86288,30183,30668,,3,87,3170,,,,G486038458,Medium,Medium,0,0,0,0,167556,163067,61553,63698,|||78624|1262,|||85041|1247,|||30183|0,|||30668|0,|||224516|2509,|||166241|1315,|||161787|1280,|||61553|0,|||63698|0,|||453279|2595,0,0,0,0,0,0,0,0
1,23,42,16062,AFG-20/3481/RA3/APC/INGO/16062,157,7 Months,1/31/2021 12:00:00 AM,336315.12,20735,23947,4970,5348,,4,87,3156,,,,G228565374,Low,Medium,800,1000,500,700,22378,9791,204,100,11820||5807|3108|,13651||6704|3592|,2834||1391|745|,3047||1500|801|,31352||15402|8246|,12809||6166|3403|,5416||2541|1834|,118||56|30|,61||30|9|,18404||8793|5276|,56,981,28,617,0,0,0,0
1,23,42,16063,AFG-20/3481/RA3/H/INGO/16063,343,6 Months,12/19/2020 12:00:00 AM,389806.03,26743,25664,10965,10531,,3,87,3172,,,,G191254828,Medium,Medium,1070,1027,439,421,30671,53978,22437,28378,|||26743|,|||25664|,|||10965|,|||10531|,|||73903|,|||30671|,|||53978|,|||22437|,|||28378|,|||135464|,1012,826,19,260,0,0,0,0
1,23,42,16064,AFG-20/3481/RA3/N/INGO/16064,114,8 Months,1/31/2021 12:00:00 AM,399577.76,6480,9720,9342,10458,,3,87,3147,,,,G404512529,Low,Medium,194,292,280,314,4648,20793,6276,6579,1296|||5184|,1944|||7776|,1868|||7474|,2092|||8366|,7200|||28800|,0|||4648|,0|||20793|,0|||6276|,0|||6579|,0|||38296|,101,64,220,229,0,0,0,0
1,23,42,16065,AFG-20/3481/RA3/FSAC/INGO/16065,359,5 Months,10/31/2020 12:00:00 AM,689400,8473,10522,9689,10716,,3,87,3187,,,,G850778397,Medium,High,15,10,5,3,6871,8167,14830,15152,7626|||847|,9470|||1052|,8720|||969|,9644|||1072|,35460|||3940|,6442|||429|,7717|||450|,14216|||614|,14528|||624|,42903|||2117|,6,6,0,2,0,0,0,0
1,23,42,16067,AFG-20/3481/RA3/H/UN/16067,66,6 Months,12/14/2020 12:00:00 AM,649950.14,40000,10000,15000,5000,,3,87,3142,,,,G254769836,Low,High,600,150,250,100,74552,18638,27957,9319,9000|1000|10000|20000|,2000|500|2500|5000|,4500|500|3000|7000|,1250|250|1500|2000|,16750|2250|17000|34000|,16774|1864|18638|37276|,3728|932|4659|9319|,8387|932|5591|13047|,2316|479|2796|3728|,31205|4207|31684|63370|,274,51,45,22,0,0,0,0
1,23,42,16070,AFG-20/3481/RA3/GBV/INGO/16070,359,6 Months,12/14/2020 12:00:00 AM,236263.23,10400,16084,3470,4606,,4,87,3187,,,,G594623151,Medium,High,104,160,35,46,9256,18772,2296,4426,6595||145|3660|,10197||225|5662|,2200||50|1220|,2924||60|1622|,21916||480|12164|,830||143|8283|,4028||215|14529|,370||26|1900|,433||46|3947|,5661||430|28659|,85,83,7,43,0,0,0,0
